player_id,link,name,position,career_begin,career_end,active,scraped
13663,/players/K/KillGe20.htm,Gene Killian,G,1974,1974,False,True
13664,/players/K/KillGl20.htm,Glenn Killinger,TB,1921,1926,False,True
13665,/players/K/KillCe20.htm,Cedric Killings,DT,2000,2007,False,True
13666,/players/K/KillAd00.htm,Adrian Killins,RB,2020,2020,False,True
13667,/players/K/KillPa20.htm,Pat Killorin,C,1966,1966,False,True
13668,/players/K/KilmBi00.htm,Billy Kilmer,QB-HB,1961,1978,False,True
13669,/players/K/KilmEt00.htm,Ethan Kilmer,WR,2006,2006,False,True
13670,/players/K/KilrBu00.htm,Bucko Kilroy,G-MG-T-DT,1943,1955,False,True
13671,/players/K/KilsDa20.htm,David Kilson,DB,1983,1983,False,True
13672,/players/K/KimbBo20.htm,Bobby Kimball,WR,1979,1980,False,True
13673,/players/K/KimbBr20.htm,Bruce Kimball,G,1982,1984,False,True
13674,/players/K/KimbBi00.htm,Bill Kimber,DE,1959,1961,False,True
13675,/players/K/KimbFr20.htm,Frank Kimble,E,1945,1945,False,True
13676,/players/K/KimbGa20.htm,Garry Kimble,DB,1987,1987,False,True
13677,/players/K/KimbEl20.htm,Elbert Kimbrough,DB,1961,1968,False,True
13678,/players/K/KimbJo20.htm,John Kimbrough,FB,1946,1948,False,True
13679,/players/K/KimbJo00.htm,John Kimbrough,WR,1977,1977,False,True
13680,/players/K/KimbTo00.htm,Tony Kimbrough,WR,1993,1994,False,True
13681,/players/K/KimmJ.20.htm,J.D. Kimmel,DT,1955,1958,False,True
13682,/players/K/KimmJa20.htm,Jamie Kimmel,LB,1986,1987,False,True
13683,/players/K/KimmJe20.htm,Jerry Kimmel,LB,1987,1987,False,True
13684,/players/K/KimmJo20.htm,Jon Kimmel,LB,1985,1987,False,True
13685,/players/K/kimriola01.htm,Ola Kimrin,K,2004,2004,False,True
13686,/players/K/KinaBi20.htm,Billy Kinard,DB-HB,1956,1960,False,True
13687,/players/K/KinaBr20.htm,Bruiser Kinard,T,1938,1947,False,True
13688,/players/K/KinaGe20.htm,George Kinard,G,1941,1946,False,True
13689,/players/K/KinaTe00.htm,Terry Kinard,DB,1983,1990,False,True
13690,/players/K/KincKe00.htm,Keylon Kincade,RB,2006,2006,False,True
13691,/players/K/KincDa00.htm,Dalton Kincaid,TE,2023,2024,True,True
13692,/players/K/KincJi20.htm,Jim Kincaid,DB,1954,1954,False,True
13693,/players/K/KincBr00.htm,Brian Kinchen,TE,1988,2003,False,True
13694,/players/K/KincTo00.htm,Todd Kinchen,WR,1992,1998,False,True
13695,/players/K/KincKa00.htm,Kamren Kinchens,S,2024,2024,True,True
13696,/players/K/KindRa20.htm,Randy Kinder,RB,1997,1997,False,True
13697,/players/K/KindHo20.htm,Hobby Kinderdine,C,1920,1929,False,True
13698,/players/K/KindSh20.htm,Shine Kinderdine,G,1924,1924,False,True
13699,/players/K/KindWa20.htm,Walt Kinderdine,B,1923,1925,False,True
13700,/players/K/KindKe00.htm,Keith Kinderman,FB-DB,1963,1965,False,True
13701,/players/K/KindHo21.htm,Howard Kindig,DE-T,1965,1974,False,True
13702,/players/K/KindGr20.htm,Greg Kindle,G-T,1974,1977,False,True
13703,/players/K/KindSe99.htm,Sergio Kindle,LB,2011,2012,False,True
13704,/players/K/KindSo00.htm,Solomon Kindley,OL,2020,2021,False,True
